account,post,tag,likes,comments
artirtn, she was a rose in the hands of those who had no intention of keeping her ,[],139,[]
artirtn,"Souls met. 
Destiny didn't.",[],239,"['Artiii', '', 'centil bgt lo dun elah @kevinali__', 'Yg begini kok ga diseriusin sih @hrlmbngth', 'Foto belom mandi nih ya', 'Cantikbgt si', 'Masa yg gini jomblo :(', 'Cups temen lu win @erwinvitrianudin', 'my girl', 'akhirnya di post jugakkk', 'Kacamata siapa woyyy', 'Adu pgn ngehina, tp gatau mau hina apa:(', 'Apaapaanihh', 'Gede keker doang cupss @syahdatp', '""Yg gini dianggurin"" bgt nih?', 'Kusuukaaaaa!!', 'Yaampun arti makin dewasahhhj wkskwl', 'Ditayaa @ditayastuti // uuu diannn @srdhian // Aduh. @kevinali__', 'Jangan berantem disini wkwk @marisalestaluhu @kevinali__', 'Yaelah ned wkwk @fenkieltamonied // belom mandi aja cantik ye gak? @rizkaaasa', 'Kamu juga cantiq ga jomblo kok cuma lagi ldr an sama aa @justinbieber lyn hehe @ferlynlyn // my boy @xowisnuxo // akhirnya setelah pemikiran panjanggg @lwtyas', 'Kacamata atiiii! @nadaalissah', 'Hina aku cantik aja @fildzahrazz // apaaapaaaduh @shafrksm // iyanih suka diin kamu kan ya @ainafbrn_', 'Kalian kenapaaa wkwk @lamonggah @erwinvitrianudin', 'Ku juga sukaaaa! wkwk @elitelavonte // arti memang sudah dewasaaa @hanibaaah', '@artirtn terbhaik lah ini wkekw gadenk', 'Ughh', 'Yang kayak begini masih jomblo?', 'Cuanciknyooo ', 'Aghh @nalfarizi69 // nyindir kamu yaaa @komalland // muahhhhh @harjantilaras']"
artirtn,The only kind of sunsets that i dont like are the ones that i missed.,[],157,[]
artirtn,"Pas masih kecil.
.
[31 July 2016]",[],195,"['ini kapan ti ??', ""Who's that guy besides you?"", 'Tahun lalu ini fik pas ke goa sunyaragii @fkrrpratama', 'Woeyyy', 'My cousinnn @alandywisnu', 'Bulad @nadaalissah', 'Awas kalo pulang', 'Emang nanti pas pulang mau apain ati hahhhh? @nadaalissah', 'skrg jg kecil', 'Kan kita saling melengkapi @ainafbrn_', 'Haii', 'Hai fans! udah ga sombong lagi kan artihhhhhh @hrlmbngth']"
artirtn,Maybe I could swim into your thoughts like your drugs do.,[],213,"['aduduu artiii', 'Artyyyy', 'Oh ini minjem y kacamatanya', 'Adududu eyit @elitelavonte // eh hanibah @hanibaaah', 'Yaelah na gausah diomongin kek @ainafbrn_', 'creds to ggodcomplex']"
artirtn,/solivagant/,[],144,[]
artirtn,Kawan gabut,[],181,"['Aura banget guanya ', '@warmaaan aura negatif', 'Alhamdulillah udah jalanjalan didepok ', 'Akhirnya ada yg bisa di upload ya ti wkwk', 'Temen baru asikdeh', 'Tahu bulat @warmaaan @alandywisnu // alhamdulillah ya  @rizkaaasa // akhirnya ya kom wkwk ah lu gaikut si @komalland // asik dong gyy @zofortuna', 'arti follback', 'Fllbck ']"
saniaamr,Pusing,[],217,"['keren dah lu', 'Minum paramex', 'HAHAHA pusink pala adeq', 'SAN AH', 'YaAllah adek', 'parah bet san']"
saniaamr,Tibatiba hitamhitam,[],186,"['Gw juga pake baju item hari ini', 'Kaya genderuwo', 'Awas kerannya keluar air', 'Ada akoh']"
dlyaamelia,"Ten 2 Five - You

this song is for you who said would never lie again, who wants to make it right this time, but the truth?

for those who keep asking me why I didnt upload a new video again lately, its bcs this semester is super crazy. i dont even have time to enjoy my time bcs of the tasks wkwkwkwk

inget banget pertama kali tau & cover lagu ini tuh gara - gara si @meyfabellina waktu kelas 1 smk hahaha

buat yang request tapi belum diupload, sabar yaaaa pusing saya tuh kalo diburu-buruin HAHAHAHA

jangan tanya kenapa gue senyam senyum padahal itu lagu sedih, biasa dah gangguan sekitar menyebabkan gue kek gitu wkwkw dan jangan tanya juga kalo gue bertambah besar pipinya karena ya gatau gue jarang bat makan tapi ngapa jadi gitu dah akh bye

hope you guys enjoy it, use ur earphone for a better quality

____________________________
#indomusikgram @indomusikgram #indomusicgram  #vocalplus  #coversong  #sing #indozone #harmonizers @dagelanmusik #dagelanmusik #infiacoversong #ivgsundaymusic #coversaik #singerspotlight @singersspotlight #indomusikcover #indomusikvideo @indomusikvideo #cloudmusikgram @cloudmusikgram","['indomusikgram', 'indomusicgram', 'vocalplus', 'coversong', 'sing', 'indozone', 'harmonizers', 'dagelanmusik', 'infiacoversong', 'ivgsundaymusic', 'coversaik', 'singerspotlight', 'indomusikcover', 'indomusikvideo', 'cloudmusikgram']",243,"['Aduuuduuuuuuuu', 'countdown buru', 'Selalu sukaaaa', '""di kamar ga ke mane2 aje bibir merah banget neng"" - bapak', 'sukaaaakkkk', 'Waaa sukak', 'Sukaaa bgt', 'amell', 'Keren banget kak ,Liat juga Coverku Cuman beberapa doang sii ', 'Coba follow @cloudmusikgram sama pkaii hastagny kak.. Mau diseleksi, bisa ajakn yg ini lolos repost..', '@unj.cantik DLYA FE 2017 cantik dan bertalenta!!!', 'YaAllah bangga mamah nak', 'Uuuwwhhh gils sii', 'Alhamdulilah ga disuruh nilai dulu', '', 'masih waiting list ni kayaknya requestan w wkwkwk', 'mantapp banget shayyy!! LAGIII!!', 'Suka banget ', 'ga sia2 minum kopi kos tiap hari... wkwkwk', 'Huwaaaaaa ', 'suaranya uwu syekali as always! masih ada dong voice recordernya di ip5 I ', '', 'Aluss bat itu suaraaaa ', 'Meleleh abang dek', 'Kacauu sihhh pangling banget beda bgt sib del sm smp', '', 'Mantap sekali', 'Request gua lah mana', 'Req lagu-lagu perjuangan dong', 'Mau ngecengin tpi megang kartu as gw si kunyuk ini', 'KENAPASIH PAS BGTT, NYINDIR AKU YHAAA KAMUU?', 'Ya Allah udah cantik bisa nyanyi pula ni orang', 'lagu apa salah aku doong wkwk, tapi lu cover suara gagaknye aje del wkwkwk', 'Aduuuhhh', 'Yaamplop baru semalem nonton yg aslinya nyanyi bagus bat del ga ngerti lg', 'Duhhh', 'kak request mawang kak']"
dlyaamelia,habis pomnas terbitlah belang,[],383,"['MasyaAllah pujaan hatinya', ' temannn', 'Masyaallah bidadari turun dari mana ini ', 'Del selow dong, cakep amaat ', 'anggun gini', 'ah gila liarrr dela yg tomboiii jd kek gini?!', 'udah kayak boneka njir saking putihnya wkwk', 'es lilin mah ceceuu kalapa muda', 'Yang upp mah beda WKWK', 'Mon maap ini belangnya dmn del? Putih semua perasaan', 'dlya pertiwi?', 'Chubby banget skrg ', 'ini lah del dol wanita putih yg saking putihnye ampe nyaru ama ubin....', 'kang liptint niii', 'Cantik bangett siii huhuhu ', 'Cakep bgttt dlyooongg ', 'aduduuu', 'Jari belang jari wkwk']"
